Date,Time,Open,High,Low,Close,Tick volume,Mid_price,Price_range,Hour
2023-05-09,14:30:00,322.046,322.547,321.866,322.287,9338,322.2065,0.681,14
2023-05-09,15:00:00,322.286,322.437,321.596,321.847,7058,322.0165,0.841,15
2023-05-09,15:30:00,321.867,322.087,321.486,321.586,5874,321.7865,0.601,15
2023-05-09,16:00:00,321.577,321.757,321.396,321.537,5267,321.5765,0.361,16
2023-05-09,16:30:00,321.527,322.147,321.506,322.097,4604,321.8265,0.641,16
2023-05-09,17:00:00,322.096,322.216,321.856,321.967,4110,322.036,0.36,17
2023-05-09,17:30:00,321.977,322.137,321.726,322.087,4490,321.9315,0.411,17
2023-05-09,18:00:00,322.097,322.307,321.986,322.067,4325,322.1465,0.321,18
2023-05-09,18:30:00,322.066,322.177,321.517,321.817,4363,321.847,0.66,18
2023-05-09,19:00:00,321.827,321.967,321.426,321.536,4072,321.6965,0.541,19
2023-05-09,19:30:00,321.536,321.847,321.196,321.586,5368,321.5215,0.651,19
2023-05-10,13:30:00,324.096,325.317,323.027,324.347,14976,324.172,2.29,13
2023-05-10,14:00:00,324.356,325.706,324.176,324.796,11790,324.941,1.53,14
2023-05-10,14:30:00,324.806,325.197,322.447,322.996,13304,323.822,2.75,14
2023-05-10,15:00:00,323.026,324.166,322.976,324.086,9397,323.571,1.19,15
2023-05-10,15:30:00,324.087,324.727,324.016,324.106,7019,324.3715,0.711,15
2023-05-10,16:00:00,324.127,324.127,323.276,323.866,8234,323.7015,0.851,16
2023-05-10,16:30:00,323.846,324.156,323.056,323.276,7639,323.606,1.1,16
2023-05-10,17:00:00,323.277,323.556,321.707,321.846,9795,322.6315,1.849,17
2023-05-10,17:30:00,321.866,322.916,321.596,322.747,8335,322.256,1.32,17
2023-05-10,18:00:00,322.746,324.007,322.716,323.667,7479,323.3615,1.291,18
2023-05-10,18:30:00,323.687,324.787,323.627,324.766,8143,324.207,1.16,18
2023-05-10,19:00:00,324.757,325.937,324.536,325.627,6957,325.2365,1.401,19
2023-05-10,19:30:00,325.616,325.997,324.926,325.126,6601,325.4615,1.071,19
2023-05-11,13:30:00,325.667,325.837,324.376,324.697,13712,325.1065,1.461,13
2023-05-11,14:00:00,324.716,325.507,324.556,325.126,12627,325.0315,0.951,14
2023-05-11,14:30:00,325.147,325.487,324.107,325.487,11270,324.797,1.38,14
2023-05-11,15:00:00,325.506,325.887,325.136,325.887,8196,325.5115,0.751,15
2023-05-11,15:30:00,325.877,326.257,325.466,326.057,7222,325.8615,0.791,15
2023-05-11,16:00:00,326.076,326.336,325.516,326.017,6856,325.926,0.82,16
2023-05-11,16:30:00,326.026,326.477,325.966,326.277,5003,326.2215,0.511,16
2023-05-11,17:00:00,326.307,326.367,325.687,325.776,6342,326.027,0.68,17
2023-05-11,17:30:00,325.786,326.206,324.896,325.686,7568,325.551,1.31,17
2023-05-11,18:00:00,325.707,325.937,325.466,325.917,6843,325.7015,0.471,18
2023-05-11,18:30:00,325.917,326.737,325.796,326.596,5933,326.2665,0.941,18
2023-05-11,19:00:00,326.587,326.687,326.127,326.347,4647,326.407,0.56,19
2023-05-11,19:30:00,326.337,326.397,325.786,326.196,6183,326.0915,0.611,19
2023-05-12,13:30:00,326.686,327.166,326.026,326.256,12523,326.596,1.14,13
2023-05-12,14:00:00,326.217,326.367,325.147,325.256,11829,325.757,1.22,14
2023-05-12,14:30:00,325.246,325.337,324.646,325.037,9781,324.9915,0.691,14
2023-05-12,15:00:00,325.027,325.687,324.496,324.557,8491,325.0915,1.191,15
2023-05-12,15:30:00,324.567,325.257,324.337,325.197,6796,324.797,0.92,15
2023-05-12,16:00:00,325.187,325.227,323.926,323.987,6567,324.5765,1.301,16
2023-05-12,16:30:00,323.976,324.257,323.116,323.327,6608,323.6865,1.141,16
2023-05-12,17:00:00,323.317,324.387,323.156,323.987,6398,323.7715,1.231,17
2023-05-12,17:30:00,323.987,324.287,323.057,323.156,6581,323.672,1.23,17
2023-05-12,18:00:00,323.166,323.547,322.937,323.247,6279,323.242,0.61,18
2023-05-12,18:30:00,323.237,323.807,323.026,323.717,5356,323.4165,0.781,18
2023-05-12,19:00:00,323.716,324.156,323.567,324.096,5165,323.8615,0.589,19
2023-05-12,19:30:00,324.106,325.127,324.106,325.037,6397,324.6165,1.021,19
2023-05-15,13:30:00,325.516,325.797,324.496,324.547,13119,325.1465,1.301,13
2023-05-15,14:00:00,324.556,324.857,323.947,324.307,9958,324.402,0.91,14
2023-05-15,14:30:00,324.296,325.357,324.216,324.747,9203,324.7865,1.141,14
2023-05-15,15:00:00,324.747,325.997,324.716,325.826,6776,325.3565,1.281,15
2023-05-15,15:30:00,325.836,326.257,325.556,326.237,5593,325.9065,0.701,15
2023-05-15,16:00:00,326.247,326.297,325.786,325.966,4221,326.0415,0.511,16
2023-05-15,16:30:00,325.957,326.407,325.716,326.396,4260,326.0615,0.691,16
2023-05-15,17:00:00,326.397,327.007,326.137,326.217,4230,326.572,0.87,17
2023-05-15,17:30:00,326.206,326.357,325.566,326.337,5231,325.9615,0.791,17
2023-05-15,18:00:00,326.346,326.607,326.196,326.346,4782,326.4015,0.411,18
2023-05-15,18:30:00,326.346,326.677,326.176,326.297,4383,326.4265,0.501,18
